reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
24/01818/FUL,Erection of sun lounge extension to rear,2024-11-26,local-authority:DNC,,,,
24/01824/FUL,Erection of a two storey side extension and part two storey part single storey rear extension,2024-11-28,local-authority:DNC,,,,
24/01826/ADV,Display of 2 internally illuminated fascia signs and glazing manifestations to shop front elevation.,2024-11-05,local-authority:DNC,,,,
24/01828/TPO,"Application to fell 2 Silver Birch trees, identified as being within W1 of Doncaster Borough Council Tree Preservation Order (No.68) 1990 Off Stripe Road, Rossington.",2024-11-20,local-authority:DNC,,,,
24/01842/FUL,External alterations to front and side (rear) elevations of Unit 1a.,2024-11-29,local-authority:DNC,,,,
24/01850/FUL,"Erection of Stables and Glamping Pods in connection with proposed Equestrian and Glamping Holiday Centre with Touring Caravan Pitches and Associated Works (being variation of condition 3 of planning application 22/00462/FUL granted on 23.08.2022; Removal of restriction that no person, couple, family or group shall occupy or use the accommodation hereby permitted for a single period or cumulative periods exceeding 31 days in any calendar year)",2024-11-21,local-authority:DNC,,,,
24/01851/ADV,Display of various non-illuminated signs and graphics following removal of existing.,2024-11-08,local-authority:DNC,,,,
24/01855/FUL,Erection of part two storey / part single storey extension to rear following demolition of existing conservatory.,2024-11-18,local-authority:DNC,,,,
24/01858/FUL,"AMENDED PLANS: Demolition of existing porch and erection of new porch, extension to the attached garage and conversion of the garage loft space into a habitable space with associated external alterations. Erection of new boundary treatments with electric gates and new gravel driveway.",2024-12-12,local-authority:DNC,,,,
24/01861/COU,Change of use of ground floor class E commercial unit to class C3 residential studio flat,2024-12-12,local-authority:DNC,,,,
24/01862/FUL,Erection of single storey rear extension to create additional bedroom/home office and installation of new doors to garage to replace existing door and window.,2024-11-26,local-authority:DNC,,,,
24/01867/TPO,"DMBC/TPO/00414 T1 - Lime tree. Consent requested to crown lift one Lime tree to 4m from ground level all around, remove major deadwood, and tidy up previous poor pruning stubs, remove epicormic shoots from base and stem to a height of 4m.",2024-10-29,local-authority:DNC,,,,
24/01877/FUL,Erection of two storey front and side extension and single storey rear / part side extension,2024-12-05,local-authority:DNC,,,,
24/01884/COU,Change of use of first floor from Gym to 12no. holiday lets (Class C1),2024-12-16,local-authority:DNC,,,,
24/01885/FUL,Erection of a garden store in rear garden.,2024-12-05,local-authority:DNC,,,,
24/01886/LBC,Listed Building Consent for the replacement of 2no. ATMs located on the front facade,2024-11-28,local-authority:DNC,,,,
24/01887/FUL,Erection of extension above existing rear extension and erection of a granny annexe attached to the existing tandem length garage.,2024-11-21,local-authority:DNC,,,,
24/01897/FUL,"Replace existing roof covering with new materials to match existing,  all existing RWG, soffits, fascia's and flashings with new to match existing, 1no. window at first floor level with new to match existing in size, profile and colour,  and repoint existing stone work where the existing has failed with new to match the existing in colour and pointing style",2024-12-12,local-authority:DNC,,,,
24/01903/TPO,"Application to undertake crown lift and other pruning on a group of Lime trees, identified as being within G4 of Thorne Rural District Council Tree Preservation Order (No.1) 1953 Hatfield / Dunsville.
",2024-10-30,local-authority:DNC,,,,
24/01905/ADV,Display of 2 non-illuminated fascia signs to the front elevation.,2024-11-21,local-authority:DNC,,,,
24/01915/FUL,"Erection of a 2 storey side extension, new front bay window and canopy, and render front of dwelling following the demolition of existing attached garage/store",2024-12-12,local-authority:DNC,,,,
24/01918/FUL,Erection of single storey annex to rear garden.,2024-11-15,local-authority:DNC,,,,
24/01920/FUL,"Erection of first floor extension above existing garage, chimney, 2 pitched bay windows, two storey pitched roof porch extensions to front, single story extension with roof light to rear and increase in roof height overall in connection with formation of rooms in roofspace including installation of 3 pitched roof dormer windows to rear. (without compliance with condition 2 (Plans) of planning application 24/00828/FUL granted on 18/10/2024 - Change of material from render to brick)",2024-11-21,local-authority:DNC,,,,
24/01925/FUL,Erection of a ground floor rear extension,2024-11-18,local-authority:DNC,,,,
24/01936/FUL,Erection of a steel portal frame extension to moulding operations,2024-12-13,local-authority:DNC,,,,
24/01937/FUL,"Erection of a single storey rear extension and internal alterations, following the demolition of the existing rear WC/Utility areas.",2024-11-28,local-authority:DNC,,,,
24/01951/FUL,Erection of 2 storey side extension and roof lantern addition to existing rear flat roof area,2024-12-19,local-authority:DNC,,,,
24/01956/PRIOR,Notification to determine if prior approval is required for change of use from a vacant office block (Use Class E) to a state funded school / education provision (Use Class F1(a).,2024-12-23,local-authority:DNC,,,,
24/01961/FUL,Erection of a first storey extension to rear of dwelling,2024-12-18,local-authority:DNC,,,,
24/01963/LBC,Listed Building Consent for the installation of the 2no. new passenger help points including cable management,2024-12-09,local-authority:DNC,,,,
24/01964/FUL,"Erection of a single storey front, rear and side extension.",2024-11-28,local-authority:DNC,,,,
24/01965/FUL,Erection of 2nd storey extension over the front porch granted under 24/00694/FUL.,2024-11-26,local-authority:DNC,,,,
24/01975/FUL,Minor amendments and modifications to the kitchen extension to the rear including replacement of windows and doors and conversion of roof,2024-12-10,local-authority:DNC,,,,
24/01977/TPO,"Application to prune 2 Oak and 1 Sweet Chestnut to give clearance to dwelling, and re pollard a Sweet Chestnut, trees identified as being T331 and G139 within and protected by Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley.",2024-11-20,local-authority:DNC,,,,
24/01985/FUL,Erection of a single storey side and rear extension following demolition from existing garage.,2024-12-16,local-authority:DNC,,,,
24/01986/3FUL,Erection of a single storey rear extension,2024-12-03,local-authority:DNC,,,,
24/01993/FUL,Erection of a single storey extension following demolition of existing rear toilet.,2024-11-28,local-authority:DNC,,,,
24/01999/FUL,Formation of a wider drive and change of material from gravel to tarmac (RETROSPECTIVELY).,2024-12-23,local-authority:DNC,,,,
24/02002/FUL,"Erection of a side extension, front infill extension and loft conversion with associated dormer window to the rear",2024-12-23,local-authority:DNC,,,,
24/02015/FUL,Conversion of existing bungalow to dormer bungalow and erection of extension to the rear and new resin driveway to the front.,2024-12-05,local-authority:DNC,,,,
24/02018/FUL,Erection of side and front extensions to the existing garage outbuilding.,2024-12-17,local-authority:DNC,,,,
24/02019/FUL,"Erection of a 2 storey side/rear extension, following the demolition of the existing ground floor Utility/WC extension.",2024-12-05,local-authority:DNC,,,,
24/02027/3FUL,Erection of single storey rear extension,2024-12-12,local-authority:DNC,,,,
24/02029/3FUL,Erection of a flat roof single storey rear extension (containing a Shower Room and a Store).,2024-12-05,local-authority:DNC,,,,
24/02031/3FUL,"Erection of a single story side extension, containing a shower room and a bedroom.",2024-12-05,local-authority:DNC,,,,
24/02032/3FUL,Erection of a single storey rear extension containing bedroom and ensuite,2024-12-12,local-authority:DNC,,,,
24/02043/FUL,Erection of a single storey side extension,2024-12-13,local-authority:DNC,,,,
24/02050/TPO,"Planning application to remove a dying Walnut Tree (T1) which forms part of Doncaster Borough Council Tree Preservation Order (No.367) 2014 Land To Rear Of Sandall House, Dadsley Lane Tickhill.
",2024-12-20,local-authority:DNC,,,,
24/02053/FUL,"Erection of first floor extension to front, raising of roof height to form rooms in roof space and replacement of part flat /pitch roof on single storey section with flat roof",2024-12-19,local-authority:DNC,,,,
24/02057/FUL,Erection of a single storey front infill extension.,2024-12-05,local-authority:DNC,,,,
24/02063/FUL,Erection of an attached garage to the side of the property,2024-12-06,local-authority:DNC,,,,
24/02064/TPO,"Application to undertake crown lift and crown reduction on 4 Lime, identified as T1 to T4 of Doncaster Borough Council Tree Preservation Order (No.345) 2009 1 and 3 Victorian Crescent, Doncaster.",2024-12-20,local-authority:DNC,,,,
24/02066/COU,Change of use of from of a 3 bedroom terrace house into 2no 1 bedroom flats,2024-12-19,local-authority:DNC,,,,
24/02070/PRIOR,Notification to determine if prior approval is required for change of use for proposed conversion of first floor to 2no. residential flats,2024-12-24,local-authority:DNC,,,,
24/02072/ADV,Display of externally illuminated replacement sign to show new Santander logo and replace existing individual letters and logo with new Santander corporate font type and logo style.,2024-12-05,local-authority:DNC,,,,
24/02096/FUL,Erection of a single storey rear extension to include the addition of a new bedroom and bathroom (being amendment to planning application 24/01758/FUL granted on 24/10.2024; Erection of a single storey side and rear extension to include the addition of a new bedroom and bathroom ).,2024-12-13,local-authority:DNC,,,,
24/02099/TPO,"Application to undertake various pruning on 2 Beech, identified as being within G52 of Doncaster Borough Council Tree Preservation Order (No.64) 1991 Bessacarr with Cantley.",2024-12-20,local-authority:DNC,,,,
24/02101/ADV,"Display of 3No. Externally LED illuminated aluminium tray signs with a height of 0.77m and a width of 1.95m  with 50mm returns, complete with vinyl details to face and overhead lighting canopy, powder coated and vinyl into standard colours. 8800x 720, 4430mm x 570mm, 3600mm x 580mm. display of 2No. sets of digitally printed and laminated window vinyl graphics, printed into standard colours. 4280mm x 1380mm and 3No. digitally printed and laminated 3mm flat Dibond panels, printed into standard colours. 600mm x 600mm, 90mm x 900mm, 1950mm x 770mm.",2024-12-13,local-authority:DNC,,,,
